Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
mask.tif,1,64,353,69,283,61.698484809834994,22.32470249641298,16.410009555345688,0.9342160021060056,1.3604320229746931,9.0,2.8
mask.tif,1,65,827,617,1048,125.25483399593904,48.15971627496377,28.01761690087159,0.8394254945907252,1.7189083727340702,10.0,2.99
mask.tif,1,66,581,133,471,78.76955262170047,26.21578485328419,22.966379602837307,0.9539245227206178,1.141485306201481,1.0,3.43
mask.tif,1,67,931,402,288,61.11269837220809,19.35218466718464,18.995829045820773,0.9690349295560668,1.0187596772167342,1.0,3.34
mask.tif,1,68,670,266,430,77.59797974644665,27.69299980379903,20.001615966242667,0.897382281718304,1.384538121846622,3.0,5.66
mask.tif,1,69,207,810,399,74.18376618407356,26.223188072316844,19.41441291508924,0.911097812279258,1.350707239359049,4.0,2.08
mask.tif,1,70,303,274,613,92.08326112068522,31.56944956663672,24.75236156970317,0.908466580664352,1.275411619927112,3.0,1.42
mask.tif,1,71,635,229,331,67.35533905932738,24.30787117124969,17.355624066113794,0.9168405319480826,1.4005760368311908,9.0,1.67
mask.tif,1,72,936,257,800,104.91168824543142,34.25960172744807,29.81719452726292,0.9133812654428652,1.1489881013494851,4.0,3.22
mask.tif,1,73,762,816,771,103.74011537017762,37.69917973049646,26.11173685147953,0.9002658759791414,1.4437637735446296,6.0,2.71
mask.tif,1,74,944,791,506,82.76955262170046,29.49458481809608,21.99778588008412,0.9281521291545124,1.3407978866090906,6.0,5.17
mask.tif,1,75,690,688,1165,126.22539674441616,43.97976210381093,33.790791440967034,0.9188450933769295,1.301530986057079,6.0,3.68
mask.tif,1,76,634,193,243,56.04163056034262,18.88256972642341,16.49856291851932,0.9722872976189898,1.1444978462474502,5.0,3.21
mask.tif,1,77,493,85,413,76.42640687119285,26.002572591540623,20.37043472787109,0.8885319146592855,1.2764858943321211,10.0,2.03
mask.tif,1,78,278,447,255,57.45584412271572,18.17209207421563,17.933132195844927,0.9706923911029472,1.0133250497325876,4.0,3.49
mask.tif,1,79,995,440,131,42.72792206135786,15.25653968208642,11.461417748540187,0.9016907492409454,1.331121508421557,9.0,5.66
mask.tif,1,80,15,777,281,60.2842712474619,21.174720908623403,16.886222149375996,0.9716461929787796,1.2539643693723337,1.0,3.22
mask.tif,1,81,898,446,255,59.112698372208094,20.62853860012433,15.802180741171776,0.9170404142182994,1.3054235322329737,5.0,2.56
mask.tif,1,82,263,461,264,58.04163056034261,20.07191881866549,16.79991728974912,0.9847694830138332,1.1947629546315008,1.0,6.47
mask.tif,1,83,201,673,779,103.49747468305831,35.42371307389014,28.07451085301945,0.9138771428458168,1.2617748982109251,4.0,1.71
mask.tif,1,84,747,774,1487,142.46803743153546,46.393936881524006,40.89598298806324,0.9206317514713288,1.1344375044137105,4.0,1.61
mask.tif,1,85,455,66,385,73.35533905932738,26.818222569687133,18.371252671217697,0.8990982159584164,1.4597928105198472,9.0,1.79
mask.tif,1,86,707,968,422,76.76955262170047,29.69297328278241,18.13283730778977,0.8997964916542553,1.637524937701088,6.0,5.38
mask.tif,1,87,964,71,484,80.18376618407356,26.37741108393768,23.39912060860789,0.9459808041180467,1.1272821541094222,4.0,2.51
mask.tif,1,88,632,696,793,103.49747468305831,35.83731664716623,28.22563379585134,0.9303011223064606,1.269672699163045,4.0,3.82
mask.tif,1,89,869,419,324,67.35533905932738,24.10762179528115,17.279174343567686,0.8974511551395128,1.3951836653731902,9.0,3.04
mask.tif,1,90,648,113,442,78.42640687119285,24.26333491014053,23.20960665792561,0.9030410591243468,1.0454005217643398,4.0,2.12
mask.tif,1,91,504,121,328,67.35533905932738,25.671313599253264,16.278930760425105,0.908530799030124,1.576965586810008,10.0,2.67
mask.tif,1,92,611,887,440,79.35533905932738,29.426224977152035,19.132612742929105,0.8780317841292082,1.5380139332003764,6.0,2.35
mask.tif,1,93,869,230,519,84.18376618407356,28.65840624158133,23.192693704012573,0.9202811352224748,1.2356652749060857,3.0,3.09
mask.tif,1,94,302,154,382,75.59797974644665,29.73531238899179,16.57711038954729,0.8399488648134931,1.7937572767652807,6.0,4.01
mask.tif,1,95,831,922,329,67.35533905932738,24.52485028999281,17.1141171154736,0.911300710002777,1.4330187250979396,7.0,3.21
mask.tif,1,96,538,373,352,68.2842712474619,23.44603732108756,19.122647245012324,0.948661268636659,1.2260874250662597,5.0,4.75
mask.tif,1,97,517,697,916,111.1543289325507,34.199506827969884,34.11567929786449,0.9316495436084002,1.0024571555317277,4.0,2.4
mask.tif,1,98,515,336,467,81.59797974644667,27.70390652724957,21.720917353216024,0.8813896206098788,1.2754482730513084,5.0,3.63
mask.tif,1,99,542,653,1854,160.36753236814712,53.3367379361114,44.2796692355941,0.905913435348584,1.2045423747934594,1.0,1.84
mask.tif,1,100,900,325,663,98.91168824543142,35.97700981051795,23.79193033322096,0.8515853142027462,1.512151780315312,7.0,3.32
mask.tif,1,101,663,978,386,71.94112549695427,25.678534745448832,19.213080915958063,0.9372225142635524,1.3365131213349897,9.0,1.92
mask.tif,1,102,915,763,403,73.35533905932738,24.12664432387963,21.300929558156845,0.941133976704524,1.1326568757484448,3.0,2.91
mask.tif,1,103,81,953,241,55.45584412271571,18.586284239428068,16.526329089028735,0.9847642318957808,1.1246468673897378,1.0,3.91
mask.tif,1,104,25,949,419,77.59797974644665,28.385261827813896,18.872277084446484,0.8744259907906264,1.5040719093303003,10.0,2.06
mask.tif,1,105,837,289,310,64.5269119345812,22.265321836956144,17.759527969945776,0.9355990986113012,1.2537113528375003,2.0,3.39
mask.tif,1,106,142,433,311,65.35533905932738,23.76632149756516,16.78129231374988,0.914972642348976,1.416239050796585,7.0,3.76
mask.tif,1,107,389,129,509,85.01219330881975,31.43709407027477,20.84458906316861,0.885044696908062,1.508165691106025,6.0,2.39
mask.tif,1,108,357,725,1426,142.12489168102786,50.90047673624871,35.75952806451229,0.8871337384170023,1.423410192786137,6.0,1.82
mask.tif,1,109,422,70,356,68.5269119345812,24.493206843210583,18.5829483573782,0.9526591414308512,1.3180474041131247,5.0,3.79
mask.tif,1,110,600,797,579,98.18376618407356,40.3482803965594,18.409578632385152,0.7547603093243704,2.191700375237315,10.0,2.99
mask.tif,1,111,729,195,407,75.35533905932738,27.274214739158257,19.32325945531468,0.9006918161818953,1.411470709805987,4.0,4.75
mask.tif,1,112,226,206,212,52.04163056034261,17.061449098265804,15.930816022147363,0.9836575603032474,1.0709714476990138,3.0,2.76
mask.tif,1,113,502,378,452,80.52691193458118,29.18307989913023,19.862688766750345,0.875923562036529,1.469241160742648,1.0,4.22
mask.tif,1,114,827,150,455,79.01219330881975,26.959318836912765,21.50923396408896,0.915868295769916,1.2533834948247378,8.0,1.89
mask.tif,1,115,57,113,445,77.01219330881976,26.689934275525548,21.31932769406897,0.9428679869124622,1.2519125677190408,9.0,1.98
mask.tif,1,116,825,69,243,59.4558441227157,21.760269751294874,14.590326490771336,0.8638275261508102,1.491417602276321,10.0,3.26
mask.tif,1,117,174,961,384,70.5269119345812,24.165331185573148,20.24479598196258,0.9701331648699822,1.193656444209348,5.0,4.12
mask.tif,1,118,741,85,765,103.74011537017762,36.91124189930505,26.661811828951144,0.89325991585479,1.3844236144230977,9.0,2.73
mask.tif,1,119,114,322,348,69.11269837220809,23.940246587580496,18.68172240805154,0.9155317480141224,1.2814796229528926,7.0,4.12
mask.tif,1,120,229,371,410,77.84062043356593,29.93040022593836,17.55969118324074,0.8503175506393427,1.7044946812335988,9.0,2.78
mask.tif,1,121,851,988,263,58.04163056034261,21.01611006426623,15.945135975780932,0.9810392955781748,1.3180263935150882,5.0,6.15
mask.tif,1,122,957,987,251,57.45584412271571,21.02142988600956,15.328549318162883,0.9554658437915288,1.3713906939061182,5.0,8.83
mask.tif,1,123,152,151,239,56.62741699796952,21.24486134160336,14.321248400598904,0.936600231122275,1.483450377183243,1.0,5.43
mask.tif,1,124,962,421,382,72.18376618407356,25.686758738955348,18.944028270841933,0.9212853214128494,1.3559290754697415,4.0,2.36
mask.tif,1,125,725,114,534,84.18376618407356,29.209716128187047,23.27209468056589,0.9468788558936444,1.255139106690708,5.0,2.47
mask.tif,1,126,799,445,936,115.7401153701776,39.855308718593164,30.203126193234635,0.8780472577727687,1.3195756115974702,4.0,2.12
mask.tif,1,127,112,453,291,63.94112549695428,22.989804016370524,16.396223959816055,0.8944216438333726,1.4021401557281754,9.0,2.64
mask.tif,1,128,9,486,478,81.11269837220809,29.20304185953353,21.23051753944341,0.9129774735308656,1.375521901681306,4.0,2.04
mask.tif,1,129,808,14,243,55.45584412271571,19.45061597406877,15.958137137999714,0.9929365491729244,1.2188525393576626,6.0,4.84
mask.tif,1,130,514,835,422,79.35533905932738,30.47412083183124,17.855809904703836,0.8421123020511951,1.7066781621484053,7.0,4.08
mask.tif,1,131,323,15,401,75.01219330881975,27.5848371326727,18.62669725637167,0.895551381871265,1.4809301269572468,10.0,3.2
mask.tif,1,132,407,201,252,56.87005768508881,19.89993867189425,16.190515077395638,0.9791361096794586,1.2291109070197233,5.0,3.07
mask.tif,1,133,970,825,411,75.35533905932738,27.5967993846804,19.06718211135085,0.9095438242033388,1.4473454558475007,5.0,3.6
mask.tif,1,134,332,463,312,65.698484809835,24.895549387106488,15.970193824735238,0.9083511090390304,1.558875844609182,7.0,5.01
mask.tif,1,135,900,992,286,63.45584412271571,24.87186771136421,14.701589598458805,0.8925501879121227,1.6917808475602922,9.0,3.21
mask.tif,1,136,581,213,373,70.76955262170046,25.28663944671958,18.83599156585487,0.9358921304795194,1.342463939756598,7.0,3.24
mask.tif,1,137,576,191,412,75.94112549695427,27.254902118324708,19.426140844038283,0.897745054367072,1.403001364869081,10.0,2.26
mask.tif,1,138,609,512,1094,121.7401153701776,38.20172159366452,36.58946666375351,0.9275979240962784,1.0440633624077431,4.0,2.8
mask.tif,1,139,832,504,1345,136.12489168102786,44.42043867034645,38.63185881654339,0.9121306596248347,1.1498395373956016,4.0,2.14
mask.tif,1,140,994,342,243,61.79898987322333,22.217484313382133,14.866622287428765,0.7995642812205828,1.4944540786624592,3.0,12.66
mask.tif,1,141,455,559,1286,132.46803743153546,41.58982885924684,39.45246887787806,0.9209342574104034,1.0541755697972872,4.0,2.21
mask.tif,1,142,788,85,342,67.698484809835,24.61962354953992,17.687944022229967,0.937730566844321,1.3918872379174376,8.0,2.28
mask.tif,1,143,347,281,690,95.25483399593904,32.51240629565156,27.037777265880663,0.9556192855652224,1.2024807355994978,2.0,3.21
mask.tif,1,144,50,620,519,85.01219330881976,31.25661216154888,21.251417682331883,0.902432608438672,1.47080127212102,9.0,2.16
mask.tif,1,145,508,417,703,98.66904755831212,34.83472886802038,25.79237643576762,0.9074094900793408,1.3505823689713703,2.0,2.97
mask.tif,1,146,93,303,228,53.698484809834994,17.82277429275375,16.304070304899135,0.9936207397849144,1.093148763434752,3.0,3.62
mask.tif,1,147,716,55,437,80.76955262170047,30.722915179876683,18.56609316473068,0.841774850477863,1.654786222781639,10.0,4.21
mask.tif,1,148,220,236,249,56.62741699796952,19.98347451937985,15.894049556155776,0.9757885253114916,1.2572928282861833,4.0,6.05
mask.tif,1,149,17,809,492,84.18376618407356,31.662305133585008,19.929855515751523,0.8724052380143691,1.5886871386779882,3.0,5.64
mask.tif,1,150,904,835,350,70.5269119345812,25.15572712244095,18.1928671008572,0.8842359575637858,1.382724722990786,9.0,3.23
mask.tif,1,151,132,273,656,106.5685424949238,43.283065054651885,19.643712270471585,0.7258646577583823,2.2034055711412024,9.0,3.41
