41,194,60,132.44,4,50.883,47.424,0.93201,2.5101,48.388,64.499,84.071,108.62,76.395,25.971,1,1,4,0.81432,0.73207,0.57378,0.12276,0.56073,0.30857,1,1,0.77702,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,427,49,90,0,48.279,47,0.9735,5.5666,32.064,36.96,44.959,56.481,42.616,10.662,1,3,15,0.038787,0.42585,0.38517,0.42641,0.31905,0.18784,1,0.33221,0.51323,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,466,52,86.309,0,99.476,93.193,0.93685,5.0066,20.962,28.745,36.85,57.012,35.892,15.502,2,4,12,0.2683,0.54327,0.55578,0.52611,0.47336,0.13725,0.27205,0.5518,0.50198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,474,60,12.095,0,35.426,28.636,0.80832,3.1068,21.349,28.678,35.065,56.976,35.517,15.365,2,3,11,0.99999,0.63582,0.76051,0.6456,0.76048,0.16941,0.27205,0.41951,0.64818,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,360,54,108.97,0,39.919,33.838,0.84767,3.2577,20.397,29.293,43.394,65.068,39.538,19.476,1,3,9,0.36869,0.46035,0.1962,0.37273,0.34949,0.1106,1,0.44774,0.25742,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,339,65,34.875,0,42.844,40.224,0.93887,2.8515,25.583,33.456,47.466,67.827,43.583,18.524,1,3,9,0.995,0.81837,0.19222,0.41027,0.60396,0.36785,1,0.44774,0.32063,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,394,79,52.193,0,91.016,73.41,0.80656,4.3147,35.806,41.076,48.991,60.867,46.685,10.897,1,2,10,0.995,0.94867,0.11753,0.47584,0.63426,0.41677,1,0.62868,0.16432,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,506,77,23.429,0,34.568,32.696,0.94582,6.5952,34.442,40.556,46.53,70.751,48.07,15.906,1,2,9,0.01881,0.47959,0.71649,0.62875,0.46091,0.31053,1,0.17805,0.57319,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,366,70,103.24,0,36.391,34.928,0.95982,4.9496,22.274,30.583,45.503,62.469,40.207,17.681,1,4,9,0.27404,0.42112,0.21201,0.3624,0.31739,0.092683,1,0.44941,0.27587,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,442,76,86.532,0,69.519,66.121,0.95113,5.4673,30.65,32.755,40.044,54.725,39.544,10.892,1,5,14,0.95667,0.55044,0.63776,0.42332,0.64205,0.22748,1,0.96437,0.48088,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,464,97,73.072,0,98.792,96.167,0.97343,7.7451,11.869,20.958,33.04,51.691,29.39,17.212,2,5,12,0.99365,0.97767,0.50964,0.54329,0.75606,0.26555,0.9161,0.93142,0.62486,NaN,NaN,NaN,NaN,NaN,NaN,NaN
