center,angle
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[26 77],8.4375
[37 99],2.8125
[27 78],8.4375
[27 78],8.4375
[37 37],2.8125
[27 78],8.4375
[27 78],8.4375
[27 78],8.4375
[27 78],8.4375
[27 78],8.4375
[27 78],8.4375
[27 78],8.4375
[27 78],8.4375
[40 12],0.0
[39 82],171.5625
[40 99],2.8125
[27 81],8.4375
[27 81],8.4375
[27 81],8.4375
[27 81],8.4375
[27 81],8.4375
[27 81],8.4375
[27 81],8.4375
[27 81],8.4375
[27 81],8.4375
[42 98],2.8125
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[28 81],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[20 12],177.1875
[21 73],2.8125
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[30 12],0.0
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[35 39],177.1875
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
